person_id,political_party,source,description,value
973,r,Eugene and Lois Miller (friends),Use of apartment m Pans for one week,"$3,000.00"
960,r,Union League Club of Chicago,Signing privileges (see Part VIII),
960,r,Union League Club of Chicago,Signing PY,
960,r,Union League Club of Chicago,Signing privileges (see Part VIII),
960,r,Union League Club of Chicago,Signing privileges (see Part VIII),
960,r,Union League Club of Caicago,Signing »rivileges,
960,r,Umon League Club of Chicago,Signing privileges,
960,r,Umon League Club of Chicago,Signing privileges,
960,r,Umion League Chub of Chicago,Signing privileges,
960,r,Umion League Chub of Chicago,Signing privileges (see Part VIII),
960,r,Umion League Chub of Chicago,Signing privileges,
960,r,Umion League Chub of Chicago,Signing privileges (see Part VIII),
960,r,Union League Club of Chicago,Signing privileges (see Part VIII),
948,d,Koti V. Sangisetty,one (1) Pamp Suisse .9995 pure Platinum Bar,"$1,800.00"
947,d,Mayer Brown LLP,payment for a reception following my investiture ceremony,"$20,000.00"
937,r,"Susman Godfrey, LLP",legal services,"$26,658.91"
937,r,"Susman Godfrey, LLP",Legal Services,"$6,466.00"
922,d,McDonald Carano Wilson LLP,Reception for mvestiture,$6478.62
917,r,Kiwanis Club of Alexandria,,
913,d,Federal Bar Association of the Eastern District of Michigan,Funds for Investiture and Reception,"$1,000.00"
906,r,Mayer Brown LLP,Reception at Standard Club on occasion of investiture 1/11/08,"$4,000.00"
906,r,Richard Dez,Tickets to pre-season game Cleveland Cavaliers v. Tel Aviv Maccabi,$400.00
906,r,"Office of the President, Louisiana State University",Football game tickets and souvenirs,$450.00
903,r,Est. Dues. Honorary Membership,Minneapolis Club,
903,r,Minneapolis Club,Estimated Dues. Honorary Membership,
903,r,Minneapolis Club,Est Dues. Honorary Membership,
892,d,Shearman & Sterling LLP,Conmbution to mnduchon ceremony reception,"$11,500.00"
875,r,Dodds Family,Use of boathouse to dock boat (See Part VIII),"$2,500.00"
875,r,Dodds Family,Use of boathouse to dock boat (See Part VIII),"$2,500.00"
875,r,Dodds Family,Use of boathouse to dock boat (See Part VIII),"$2,500.00"
875,r,[FPRETEE,Use of barn to store boat (See Part VIII),$780.00
875,r,,Use of boathouse to dock boat (See Part VIII),"$2,500.00"
875,r,1,Use of Boathouse (See Part VIII),$700.00
875,r,Dodds Family,Use of boathouse to dock boat (See Part VII),"$2,500.00"
875,r,Dodds Family,Use of boathouse to dock boat (See Part VII),"$2,500.00"
875,r,Dodds Family,Use of boathouse to dock boat (See Part VII),"$2,500.00"
875,r,,Use of bam to store boat {See Part VII),$7180.00
875,r,,Use of boathouse to dock boat (See Part VII),"$2,500.00"
875,r,Patricia Kelsey,Use of bam to store boat (See Part VII,"$1,000.00"
875,r,Richard Dodds,Use of boathouse to dock boat (See Part VII),"$2,500.00"
875,r,Patricia Kelsey,Use of bam to store boat {See Part VII),$7180.00
875,r,,Use of bam to store boat {See Part VII),$7180.00
875,r,,Use of boathouse to dock boat (See Part VII),"$2,500.00"
875,r,Richard Dodds,Use of boathouse to dock boat (See Part VII),"$2,500.00"
871,d,LSU Law Center,"Strpend for travel and hiving expenses; teacthung Comparative Civil Procedure, Lyon,Fr","$15,000.00"
871,d,Jerry Dodson,Investiture: Catering,$4820.00
871,d,Mike Palminticr,Investiture: Family Luncheon,$604.00
871,d,Baton Rouge Bar Association,Robe,$350.00
871,d,Lane Grigsby,Investiture: In Kind Donation,$925.00
871,d,David Forrester,Investiture: Photographer and Flonst,$837.00
871,d,Lou Amn Suckman,Investiture: Beverage Service,$836.00
867,d,Law Clerks,Painting for Five Year Reunion (2015),"$1,500.00"
846,d,Members - See Section VIII for additional information,,
846,d,Members - See Section VIII for additional information,,
845,r,Duke University,LLM Scholarship for Duke Law School for the Master's Program in Judicial Studies,"$22,540.00"
845,r,Duke University,LLM Scholarship for Duke Law School for the Master's Program in Judicial Studies,"$22,540.00"
826,r,City Club of Lafayette,Complimentary membership,
826,r,Complimentary membership,City Club of Lafayette,
826,r,City Club of Lafayette,Complimentary membership,
826,r,Complimentary membership,City Club of Lafayette,
823,d,Minneapolis Club,Honorary Membership,
823,d,Minneapolis Club,Honorary Membership,$50.00
823,d,Minneapolis Club,Honorary Membership,50.00
823,d,Minneapolis Club,Honorary Membership,
823,d,Minneapolis Club,Membership,
823,d,Minneapolis Club,Honorary Membership,
823,d,Minneapolis Club,Honorary Membership,$50.00
822,r,"C., Norfolk & Portsmouth Bar Assoc, Va. Beach Bar Assoc.",,
808,d,Duke University School of Law,"Scholarship for Tuition, Lodging, and Meals for Enrollment in Master of Laws Program","$21,000.00"
807,d,Eastwood DIY Legends Contest,Gift Card,"$3,000.00"
797,d,"Honorary Membership (dues, like priv ileges)",,"$1,600.00"
783,d,Peter C. Kopff,4 Tickets to NY Yankees Baseball Game,$500.00
753,d,David Kiersznowski,guest at various college basketbll games,"$1,350.00"
753,d,Demi Lloyd,guest at YMCA Camp,"$1,050.00"
753,d,David Kiersznowski,guest at various college basketbll games,"$1,350.00"
753,d,Demi Lloyd,guest at YMCA Camp,"$1,050.00"
753,d,Demi Lloyd (f/k/a Demi Kiersznowski),collateral guest of family friend on graduation trip,$650.00
753,d,David Kiersznowski,guest at college basketbll games,"$1,180.00"
753,d,Kansas Citiv Rovals Bascball Club,baschall tickets and charity golf tournament,$522.00
753,d,David and Dem Kiersznowsk,"outings with close personal fnends, as described m part VII",$900.00
753,d,David and Demi Kiersznowski,"various outings with these close personal friends, as described in part VII",$740.00
753,d,David and Demi Kiersznowski,"outing with close personal fiends, as descibed in part VIII",$554.00
753,d,David and Dem Kiersznowsk,"outings with close personal frends, as descibed in part VII",$111154.00
753,d,Bill and Christy Gautreaux,"outings with close personal friends, as described in part VII","$1,200.00"
753,d,Kansas City Royals Bascball Club,"attendance at Major League Baseball games, as described in part VIII",$410.00
735,r,Rainier Club,Complimentary Membership,
735,r,Rainier Club,Complimentary Membership,
735,r,Rainier Club,Complimentary Membership,
735,r,Rainier Club,Complimentary Membership,
720,d,SAAS AS,AS bd WIN. NAA Rd ASL TF,
713,r,Jose R. Rivas,Glock 9 mm Pistol,$625.00
713,r,Jose R. Rivas,Fishing Accomodations in Alaska,"$2,500.00"
713,r,Larry Morris,Quail and Pheasant Hunting at Lodge,"$1,500.00"
713,r,Larry Morris,Alabama Football tickets,$600.00
713,r,Jose R. Rivas,Kimber Model 1911 9mm Pistol,$849.00
713,r,Larry Morris,Quail and Pheasant Hunting at Lodge,"$1,500.00"
713,r,Larry Morris,Alabama Football tickets,$600.00
713,r,Larry Morris,Plane Ride to Washington DC and dinner,S9S0.00
713,r,Larry Morris,"Flight to Alabama vs, Tennessee Football game and ticket",$850.00
713,r,Jose R. Rivas,Pheasant and Qual Hunts,S1.000.00
713,r,Jose R. Rivas,Used 20 guage semi automatic browning shotgun,S9O0.00
713,r,Jose R. Rivas,"Travel, accomodations, and entertminment dunng part of mission trip to Honduras","$5,400.00"
713,r,Price McGifYert,Quail Hunting,$450.00
713,r,Tom Chambers,Quail Hunting,$450.00
713,r,Sam Upchurch,(1) German Shorthaired Bird Dog,"$2,500.00"
713,r,Price McGiffert,Quail Hunting,$450.00
713,r,Tom Chambers,Quail Hunting,$450.00
713,r,Brion Hardin,Quail Hunting,$450.00
713,r,,Quail Hunting,"$1,500.00"
713,r,Jose R. Rivas,labor and some maternal mstalling vapor barmer in crawlspace of home,"$1,500.00"
713,r,Jose R. Rivas,9mm Glock Pistol with light,$650.00
713,r,Jose R. Rivas,Libor and some materi! mstalling backsplash and landscape of home,"$2,500.00"
713,r,Tom Chambers,Quail Hunting,$450.00
713,r,Price McGiffert,Quisil Hunting,$450.00
713,r,Tom Chambers,Quail Hunting,$450.00
713,r,Price McGiffert,Quisil Hunting,$450.00
713,r,Bnon Hardin,Quint Hunting,$250.00
713,r,Price McGnffert,Quail Hunting,$450.00
713,r,Price McGnffert,Quail Hunting,$450.00
701,r,Drew Anthon,Five (5) tickets to NBA basketball game a,$750.00
701,r,Tickets to NBA basketball game,Drew Anthon ---,
701,r,Drew Anthon,5 tickets to NBA basketball game,
701,r,Tickets to NBA basketball game,Drew Anthon,
701,r,Drew Anthon,Five (5) tickets to NBA basketball game,
697,r,AAAI 1.,AJIOINANAL JAY,
687,r,"US, Courts Judicial Information Technology Committee",Crystal Bowl (Waterford Killamey Footed Centerpiece),$7100.00
657,r,GIFTS. (ncludes those to sp —— FE —N{ZFN &——(Nosucirreportati,ise and dependent childicu. Sc pp. 28-31 of instructions.),
656,d,Union League Club of Chicago,waiver of annual dues as to all federal judges in Chicago,
656,d,Union League Club of Chicago,waiver of annual dues as to all federal judges in Chicago,
656,d,Union League Club of Chicago,waiver of annual dues as to all federal judges in Chicago,
650,d,CREDITOR NONI (Norejortaye iadi ities.),JESCR™?7TON,VA UE CODE*
633,r,Eastern District of Texas & E.D. Texas Bar Association,2 LN aaa” TT A Pa a ATTY TI Ar Ady A wo err WR RT A AT DUNS Pw AMEN ATE eh status.,
620,d,AMERICAN LAW INSTITUTE CONFERENCE,APROX. VALLE OF CONFERENCE,$450.00
616,d,Federal Bar Association - Montana Chapter,Investure Reception,"$5,052.75"
616,d,Western Montana Bar Assocation,Investure Reception and Invitations,$758.55
616,d,Federal Bar Association - Montana Chapter,Reimbursement of Judicial Robe,$435.95
613,d,Former law clerks,Judicial robe (value is approximate ),$500.00
600,r,Senator and Mrs. Little,Investiture gift. (Crystal water cards),
600,r,"Former colleagues, U.S. Department of Tiustice N","Parting gift, (Suprema Court skete)",
598,d,"American Intellectual Property Law g Association, Washington, DC",Registration fee 10 the 2014 Annual Meeting (Speaker),$925.00
597,d,New York County Lawyers’ Association INYCLA),Annual Dinner hosed by NYCLA,$350.00
597,d,Federal Bar Council,Law Day Dinner and Judges Reception hosted by Federal Bar Council,$650.00
597,d,Korean American Family Services Cemter (KAFSC),Annual Benefit Gala hosted by KAFSC,$375.00
595,d,‘Tumble Brook Country Club,Partial reduction/annual fees,
595,d,“Tumble Brook Country Club,Partial reduction/annual fees,
595,d,Tumble Brook Country Club,Partial reduction/annual fees,
553,d,(BEE,LIL HE,HE
541,r,"Robinson, Calcagnie, Robinson, Shapiro, Davis, Inc,",Hohday Party,$400.00
540,d,University of Georgia Athletic Association,Tickets to UGA football game,$690.00
540,d,University of Georgia Athletic Association,Tickets 10 UGA football games,"1,125.00"
540,d,Umversity of Georgia Athletic Association,Tickets to UGA football games,"$2,000.00"
505,d,Oconee County Bar Association,Contnbution towards cost of reception after investiture ceremony,"$1,500.00"
505,d,South Carolina Bar Association,Conmbution towards cost of reception after imvestture ceremony,"$5,000.00"
498,r,Chambers staff - Christmas gift,Gold cufflinks,
498,r,Federal Bar Association,Retirement party,"$2,392.50"
498,r,Former Law Clerks,30th Anniversay Party & Plaque,$4764.43
498,r,Chambers staff - Christmas gift,Restaurant Gift Card,
497,d,"Covington & Burling, Washington, DC",Pro bono legal advice to the filer's spouse regarding her university employment,"$45,284.22"
497,d,"Hugh F. Keefe and Tara Knight of the New Haven, CT Bar",Pro bono legal advice to the filer's spouse regarding her university employment,"$15,000.00"
497,d,Jay Vlock and Gail Brekke (personal hospitality),"Tickets for two to baseball game and luncheon at Yankee Stadium, NY (June 11, 2019)",$500.00
497,d,Jay Vlock and Gail Brekke (personal hospitality),"Tickets for two to baseball game and luncheon at Yankee Stadium, NY (Sept. 19, 2019)",$500.00
497,d,"Covington & Burling, Washington, DC",Pro Bono legal advice to the filer's spouse regarding her university employment,"$122,905.50"
497,d,"Hugh F. Keefe and Tara Knight of the New Haven, CT Bar",Pro Bono legal advice to the filer's spouse regarding her university employment,"$15,000.00"
497,d,"The Quinnipiak Club, New Haven, CT",Lunch (at my own expense) pnvilege,
497,d,"See ""Attachment C"" attached hereto",,
497,d,"The Quinnipiack Club. New Ilaven, CT",Lunch (at my own expense) privilege,
497,d,Jay Viock and Gail Brekke (personal hospitality),"Tickets for two to baseball game and luncheon at Yankee Stadium, NY (October §, 2017)","$1,024.00"
